red,green,blue
0.8984375,0.8984375,0.8984375
0.90234375,0.90234375,0.90234375
0.90625,0.90625,0.90625
0.90625,0.90625,0.90625
0.91015625,0.91015625,0.91015625
0.9140625,0.9140625,0.9140625
0.91796875,0.91796875,0.91796875
0.91796875,0.91796875,0.91796875
0.921875,0.921875,0.921875
0.92578125,0.92578125,0.92578125
0.9296875,0.9296875,0.9296875
0.9296875,0.9296875,0.9296875
0.93359375,0.93359375,0.93359375
0.9375,0.9375,0.9375
0.94140625,0.94140625,0.94140625
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.9453125,0.9453125,0.9453125
0.94140625,0.94140625,0.94140625
0.9375,0.9375,0.9375
0.93359375,0.93359375,0.93359375
0.9296875,0.9296875,0.9296875
0.9296875,0.9296875,0.9296875
0.92578125,0.92578125,0.92578125
0.921875,0.921875,0.921875
0.91796875,0.91796875,0.91796875
0.91796875,0.91796875,0.91796875
0.9140625,0.9140625,0.9140625
0.91015625,0.91015625,0.91015625
0.90625,0.90625,0.90625
0.90625,0.90625,0.90625
0.90234375,0.90234375,0.90234375
0.8984375,0.8984375,0.8984375
