red,green,blue
0.99609375,0.671875,0
0.99609375,0.63671875,0
0.99609375,0.6015625,0
0.99609375,0.5703125,0
0.99609375,0.53515625,0
0.99609375,0.50390625,0
0.99609375,0.46875,0
0.99609375,0.43359375,0
0.99609375,0.40234375,0
0.99609375,0.3671875,0
0.99609375,0.3359375,0
0.99609375,0.30078125,0
0.99609375,0.26953125,0
0.96875,0.2578125,0.00390625
0.94140625,0.24609375,0.01171875
0.9140625,0.23828125,0.015625
0.88671875,0.2265625,0.0234375
0.859375,0.21875,0.02734375
0.8359375,0.20703125,0.03515625
0.80859375,0.19921875,0.0390625
0.78125,0.1875,0.046875
0.75390625,0.1796875,0.05078125
0.7265625,0.16796875,0.05859375
0.69921875,0.16015625,0.0625
0.67578125,0.1484375,0.0703125
0.6484375,0.140625,0.07421875
0.62109375,0.12890625,0.08203125
0.59375,0.12109375,0.0859375
0.56640625,0.109375,0.09375
0.54296875,0.1015625,0.1015625
